"국가","광종","수입","항목","단위","2023 년",
"모잠비크","인상  흑연(MT)","수입금액","수입 실적","","6",
"모잠비크","인상  흑연(MT)","수입물량","수입 실적","","10",
"모잠비크","토상  흑연(MT)","수입%","수입 실적","","0",
"모잠비크","토상  흑연(MT)","수입금액","수입 실적","","1",
"모잠비크","토상  흑연(MT)","수입물량","수입 실적","","0",
"모잠비크","마그네사이트(MT)","수입%","수입 실적","","0",
"모잠비크","마그네사이트(MT)","수입금액","수입 실적","","0",
"모잠비크","마그네사이트(MT)","수입물량","수입 실적","","0",
"모잠비크","유  연  탄(MT)","수입%","수입 실적","","3",
"모잠비크","유  연  탄(MT)","수입금액","수입 실적","","487126",
"모잠비크","유  연  탄(MT)","수입물량","수입 실적","","1765044",
"몬테네그로","합계(MT)","수입%","수입 실적","","3",
"몬테네그로","합계(MT)","수입금액","수입 실적","","151717",
"몬테네그로","합계(MT)","수입물량","수입 실적","","99767",
"몬테네그로","동      광(MT)","수입%","수입 실적","","2",
"몬테네그로","동      광(MT)","수입금액","수입 실적","","141921",
"몬테네그로","동      광(MT)","수입물량","수입 실적","","94379",
"몬테네그로","연      광(MT)","수입%","수입 실적","","1",
"몬테네그로","연      광(MT)","수입금액","수입 실적","","9796",
"몬테네그로","연      광(MT)","수입물량","수입 실적","","5388",
"몽골","석 재(MT)","수입%","수입 실적","","0",
"몽골","석 재(MT)","수입금액","수입 실적","","1",
"몽골","석 재(MT)","수입물량","수입 실적","","0",
"몽골","합계(MT)","수입%","수입 실적","","18",
"몽골","합계(MT)","수입금액","수입 실적","","39784",
"몽골","합계(MT)","수입물량","수입 실적","","10663",
"몽골","은      광(Kg)","수입%","수입 실적","","2",
"몽골","은      광(Kg)","수입금액","수입 실적","","7086",
"몽골","은      광(Kg)","수입물량","수입 실적","","803",
"몽골","텅 스 텐광(MT)","수입%","수입 실적","","0",
"몽골","텅 스 텐광(MT)","수입금액","수입 실적","","0",
"몽골","텅 스 텐광(MT)","수입물량","수입 실적","","0",
"몽골","몰리브덴광(MT)","수입%","수입 실적","","2",
"몽골","몰리브덴광(MT)","수입금액","수입 실적","","28635",
"몽골","몰리브덴광(MT)","수입물량","수입 실적","","1209",
"몽골","주  석  광(MT)","수입%","수입 실적","","0",
"몽골","주  석  광(MT)","수입금액","수입 실적","","0",
"몽골","주  석  광(MT)","수입물량","수입 실적","","0",
"몽골","활      석(MT)","수입%","수입 실적","","0",
"몽골","활      석(MT)","수입금액","수입 실적","","0",
"몽골","활      석(MT)","수입물량","수입 실적","","0",
"몽골","고  령  토(MT)","수입%","수입 실적","","0",
"몽골","고  령  토(MT)","수입금액","수입 실적","","0",
"몽골","고  령  토(MT)","수입물량","수입 실적","","0",
"몽골","석  회  석(MT)","수입%","수입 실적","","0",
"몽골","석  회  석(MT)","수입금액","수입 실적","","0",
"몽골","석  회  석(MT)","수입물량","수입 실적","","0",
"몽골","규      석(MT)","수입%","수입 실적","","0",
"몽골","규      석(MT)","수입금액","수입 실적","","0",
"몽골","규      석(MT)","수입물량","수입 실적","","0",
"몽골","형      석(MT)","수입%","수입 실적","","14",
"몽골","형      석(MT)","수입금액","수입 실적","","4062",
"몽골","형      석(MT)","수입물량","수입 실적","","9452",
"몽골","석      고(MT)","수입%","수입 실적","","0",
"몽골","석      고(MT)","수입금액","수입 실적","","0",
"몽골","석      고(MT)","수입물량","수입 실적","","0",
"몽골","기타비금속(MT)","수입%","수입 실적","","0",
"몽골","기타비금속(MT)","수입금액","수입 실적","","0",
"몽골","기타비금속(MT)","수입물량","수입 실적","","0",
"몽골","기타  석탄(MT)","수입%","수입 실적","","0",
"몽골","기타  석탄(MT)","수입금액","수입 실적","","0",
"몽골","기타  석탄(MT)","수입물량","수입 실적","","0",
"몽골","토      탄(MT)","수입%","수입 실적","","0",
"몽골","토      탄(MT)","수입금액","수입 실적","","0",
"몽골","토      탄(MT)","수입물량","수입 실적","","0",
"미국","석 재(MT)","수입%","수입 실적","","0",
"미국","석 재(MT)","수입금액","수입 실적","","468",
"미국","석 재(MT)","수입물량","수입 실적","","1003",
"미국","합계(MT)","수입%","수입 실적","","363",
"미국","합계(MT)","수입금액","수입 실적","","1143093",
"미국","합계(MT)","수입물량","수입 실적","","4983791",
"미국","금      광(Kg)","수입%","수입 실적","","6",
"미국","금      광(Kg)","수입금액","수입 실적","","6628",
"미국","금      광(Kg)","수입물량","수입 실적","","408",
"미국","은      광(Kg)","수입%","수입 실적","","0",
"미국","은      광(Kg)","수입금액","수입 실적","","0",
"미국","은      광(Kg)","수입물량","수입 실적","","0",
"미국","동      광(MT)","수입%","수입 실적","","0",
"미국","동      광(MT)","수입금액","수입 실적","","9",
"미국","동      광(MT)","수입물량","수입 실적","","0",
"미국","연      광(MT)","수입%","수입 실적","","8",
"미국","연      광(MT)","수입금액","수입 실적","","113113",
"미국","연      광(MT)","수입물량","수입 실적","","51042",
"미국","아  연  광(MT)","수입%","수입 실적","","11",
"미국","아  연  광(MT)","수입금액","수입 실적","","200810",
"미국","아  연  광(MT)","수입물량","수입 실적","","223682",
"미국","철      광(MT)","수입%","수입 실적","","0",
"미국","철      광(MT)","수입금액","수입 실적","","0",
"미국","철      광(MT)","수입물량","수입 실적","","0",
"미국","텅 스 텐광(MT)","수입%","수입 실적","","0",
"미국","텅 스 텐광(MT)","수입금액","수입 실적","","2",
"미국","텅 스 텐광(MT)","수입물량","수입 실적","","0",
"미국","몰리브덴광(MT)","수입%","수입 실적","","3",
"미국","몰리브덴광(MT)","수입금액","수입 실적","","36686",
"미국","몰리브덴광(MT)","수입물량","수입 실적","","1130",
"미국","망  간  광(MT)","수입%","수입 실적","","0",
"미국","망  간  광(MT)","수입금액","수입 실적","","569",
"미국","망  간  광(MT)","수입물량","수입 실적","","371",
"미국","주  석  광(MT)","수입%","수입 실적","","0",
"미국","주  석  광(MT)","수입금액","수입 실적","","0",
"미국","주  석  광(MT)","수입물량","수입 실적","","0",
"미국","안티모니광(MT)","수입%","수입 실적","","0",
"미국","안티모니광(MT)","수입금액","수입 실적","","1",
"미국","안티모니광(MT)","수입물량","수입 실적","","0",
"미국","유  화  철(MT)","수입%","수입 실적","","1",
"미국","유  화  철(MT)","수입금액","수입 실적","","11",
"미국","유  화  철(MT)","수입물량","수입 실적","","2",
"미국","니      켈(MT)","수입%","수입 실적","","0",
"미국","니      켈(MT)","수입금액","수입 실적","","1",
"미국","니      켈(MT)","수입물량","수입 실적","","0",
"미국","크  롬  광(MT)","수입%","수입 실적","","1",
"미국","크  롬  광(MT)","수입금액","수입 실적","","16",
"미국","크  롬  광(MT)","수입물량","수입 실적","","0",
"미국","백  금  광(Kg)","수입%","수입 실적","","3",
"미국","백  금  광(Kg)","수입금액","수입 실적","","1",
"미국","백  금  광(Kg)","수입물량","수입 실적","","0",
"미국","바 나 듐광(MT)","수입%","수입 실적","","3",
"미국","바 나 듐광(MT)","수입금액","수입 실적","","57",
"미국","바 나 듐광(MT)","수입물량","수입 실적","","39",
"미국","인상  흑연(MT)","수입%","수입 실적","","0",
"미국","인상  흑연(MT)","수입금액","수입 실적","","13",
"미국","인상  흑연(MT)","수입물량","수입 실적","","3",
"미국","토상  흑연(MT)","수입%","수입 실적","","1",
"미국","토상  흑연(MT)","수입금액","수입 실적","","935",
"미국","토상  흑연(MT)","수입물량","수입 실적","","50",
"미국","활      석(MT)","수입%","수입 실적","","2",
"미국","활      석(MT)","수입금액","수입 실적","","658",
"미국","활      석(MT)","수입물량","수입 실적","","1053",
"미국","납      석(MT)","수입%","수입 실적","","84",
"미국","납      석(MT)","수입금액","수입 실적","","217",
"미국","납      석(MT)","수입물량","수입 실적","","345",
"미국","고  령  토(MT)","수입%","수입 실적","","49",
"미국","고  령  토(MT)","수입금액","수입 실적","","35758",
"미국","고  령  토(MT)","수입물량","수입 실적","","83967",
"미국","석  회  석(MT)","수입%","수입 실적","","1",
"미국","석  회  석(MT)","수입금액","수입 실적","","452",
"미국","석  회  석(MT)","수입물량","수입 실적","","1094",
"미국","규      석(MT)","수입%","수입 실적","","18",
"미국","규      석(MT)","수입금액","수입 실적","","3356",
"미국","규      석(MT)","수입물량","수입 실적","","427",
"미국","규      사(MT)","수입%","수입 실적","","1",
"미국","규      사(MT)","수입금액","수입 실적","","474",
"미국","규      사(MT)","수입물량","수입 실적","","237",
"미국","규  조  토(MT)","수입%","수입 실적","","9",
"미국","규  조  토(MT)","수입금액","수입 실적","","4085",
"미국","규  조  토(MT)","수입물량","수입 실적","","3584",
"미국","인  광  석(MT)","수입%","수입 실적","","0",
"미국","인  광  석(MT)","수입금액","수입 실적","","5",
"미국","인  광  석(MT)","수입물량","수입 실적","","0",
"미국","유      황(MT)","수입%","수입 실적","","0",
"미국","유      황(MT)","수입금액","수입 실적","","1",
"미국","유      황(MT)","수입물량","수입 실적","","0",
"미국","규  회  석(MT)","수입%","수입 실적","","8",
"미국","규  회  석(MT)","수입금액","수입 실적","","468",
"미국","규  회  석(MT)","수입물량","수입 실적","","645",
"미국","운      모(MT)","수입%","수입 실적","","2",
"미국","운      모(MT)","수입금액","수입 실적","","447",
"미국","운      모(MT)","수입물량","수입 실적","","118",
"미국","남  정  석(MT)","수입%","수입 실적","","77",
"미국","남  정  석(MT)","수입금액","수입 실적","","1442",
"미국","남  정  석(MT)","수입물량","수입 실적","","2500",
"미국","마그네사이트(MT)","수입%","수입 실적","","2",
"미국","마그네사이트(MT)","수입금액","수입 실적","","1469",
"미국","마그네사이트(MT)","수입물량","수입 실적","","641",
"미국","석      고(MT)","수입%","수입 실적","","1",
"미국","석      고(MT)","수입금액","수입 실적","","345",
"미국","석      고(MT)","수입물량","수입 실적","","474",
"미국","불      석(MT)","수입%","수입 실적","","50",
"미국","불      석(MT)","수입금액","수입 실적","","233",
"미국","불      석(MT)","수입물량","수입 실적","","425",
"미국","수      정(MT)","수입%","수입 실적","","3",
"미국","수      정(MT)","수입금액","수입 실적","","3",
"미국","수      정(MT)","수입물량","수입 실적","","0",
"미국","금  강  석(Kg)","수입%","수입 실적","","2",
"미국","금  강  석(Kg)","수입금액","수입 실적","","1699",
"미국","금  강  석(Kg)","수입물량","수입 실적","","43",
"미국","기타비금속(MT)","수입%","수입 실적","","2",
"미국","기타비금속(MT)","수입금액","수입 실적","","1777",
"미국","기타비금속(MT)","수입물량","수입 실적","","191",
"미국","무  연  탄(MT)","수입%","수입 실적","","0",
"미국","무  연  탄(MT)","수입금액","수입 실적","","0",
"미국","무  연  탄(MT)","수입물량","수입 실적","","0",
"미국","유  연  탄(MT)","수입%","수입 실적","","4",
"미국","유  연  탄(MT)","수입금액","수입 실적","","730796",
"미국","유  연  탄(MT)","수입물량","수입 실적","","4610703",
"미국","기타  석탄(MT)","수입%","수입 실적","","0",
"미국","기타  석탄(MT)","수입금액","수입 실적","","0",
"미국","기타  석탄(MT)","수입물량","수입 실적","","0",
"미국","갈      탄(MT)","수입%","수입 실적","","11",
"미국","갈      탄(MT)","수입금액","수입 실적","","11",
"미국","갈      탄(MT)","수입물량","수입 실적","","13",
"미국","토      탄(MT)","수입%","수입 실적","","0",
"미국","토      탄(MT)","수입금액","수입 실적","","77",
"미국","토      탄(MT)","수입물량","수입 실적","","51",
"미얀마","석 재(MT)","수입%","수입 실적","","0",
"미얀마","석 재(MT)","수입금액","수입 실적","","1",
"미얀마","석 재(MT)","수입물량","수입 실적","","0",
"미얀마","합계(MT)","수입%","수입 실적","","0",
"미얀마","합계(MT)","수입금액","수입 실적","","1",
"미얀마","합계(MT)","수입물량","수입 실적","","0",
"미얀마","유      황(MT)","수입%","수입 실적","","0",
"미얀마","유      황(MT)","수입금액","수입 실적","","0",
"미얀마","유      황(MT)","수입물량","수입 실적","","0",
"미얀마","석      고(MT)","수입%","수입 실적","","0",
"미얀마","석      고(MT)","수입금액","수입 실적","","0",
"미얀마","석      고(MT)","수입물량","수입 실적","","0",
"바레인","합계(MT)","수입%","수입 실적","","1",
"바레인","합계(MT)","수입금액","수입 실적","","116803",
"바레인","합계(MT)","수입물량","수입 실적","","675356",
"바레인","철      광(MT)","수입%","수입 실적","","1",
"바레인","철      광(MT)","수입금액","수입 실적","","116803",
"바레인","철      광(MT)","수입물량","수입 실적","","675356",
"바레인","규      사(MT)","수입%","수입 실적","","0",
"바레인","규      사(MT)","수입금액","수입 실적","","0",
"바레인","규      사(MT)","수입물량","수입 실적","","0",
"방글라데시","석 재(MT)","수입%","수입 실적","","0",
"방글라데시","석 재(MT)","수입금액","수입 실적","","0",
"방글라데시","석 재(MT)","수입물량","수입 실적","","0",
"방글라데시","합계(MT)","수입%","수입 실적","","0",
"방글라데시","합계(MT)","수입금액","수입 실적","","0",
"방글라데시","합계(MT)","수입물량","수입 실적","","0",
"방글라데시","활      석(MT)","수입%","수입 실적","","0",
"방글라데시","활      석(MT)","수입금액","수입 실적","","0",
"방글라데시","활      석(MT)","수입물량","수입 실적","","0",
"방글라데시","규      사(MT)","수입%","수입 실적","","0",
"방글라데시","규      사(MT)","수입금액","수입 실적","","0",
"방글라데시","규      사(MT)","수입물량","수입 실적","","0",
"방글라데시","유      황(MT)","수입%","수입 실적","","0",
"방글라데시","유      황(MT)","수입금액","수입 실적","","0",
"방글라데시","유      황(MT)","수입물량","수입 실적","","0",
"방글라데시","석      고(MT)","수입%","수입 실적","","0",
"방글라데시","석      고(MT)","수입금액","수입 실적","","0",
"방글라데시","석      고(MT)","수입물량","수입 실적","","0",
"방글라데시","기타비금속(MT)","수입%","수입 실적","","0",
"방글라데시","기타비금속(MT)","수입금액","수입 실적","","0",
"방글라데시","기타비금속(MT)","수입물량","수입 실적","","0",
"베네주엘라","합계(MT)","수입%","수입 실적","","0",
"베네주엘라","합계(MT)","수입금액","수입 실적","","341",
"베네주엘라","합계(MT)","수입물량","수입 실적","","413",
"베네주엘라","몰리브덴광(MT)","수입%","수입 실적","","0",
"베네주엘라","몰리브덴광(MT)","수입금액","수입 실적","","341",
"베네주엘라","몰리브덴광(MT)","수입물량","수입 실적","","413",
"베트남","석 재(MT)","수입%","수입 실적","","4",
"베트남","석 재(MT)","수입금액","수입 실적","","23498",
"베트남","석 재(MT)","수입물량","수입 실적","","178594",
"베트남","합계(MT)","수입%","수입 실적","","142",
"베트남","합계(MT)","수입금액","수입 실적","","100019",
"베트남","합계(MT)","수입물량","수입 실적","","1235527",
"베트남","아  연  광(MT)","수입%","수입 실적","","0",
"베트남","아  연  광(MT)","수입금액","수입 실적","","539",
"베트남","아  연  광(MT)","수입물량","수입 실적","","471",
"베트남","텅 스 텐광(MT)","수입%","수입 실적","","0",
"베트남","텅 스 텐광(MT)","수입금액","수입 실적","","0",
"베트남","텅 스 텐광(MT)","수입물량","수입 실적","","0",
"베트남","몰리브덴광(MT)","수입%","수입 실적","","2",
"베트남","몰리브덴광(MT)","수입금액","수입 실적","","30687",
"베트남","몰리브덴광(MT)","수입물량","수입 실적","","990",
"베트남","비  소  광(MT)","수입%","수입 실적","","67",
"베트남","비  소  광(MT)","수입금액","수입 실적","","0",
"베트남","비  소  광(MT)","수입물량","수입 실적","","0",
"베트남","유  화  철(MT)","수입%","수입 실적","","0",
"베트남","유  화  철(MT)","수입금액","수입 실적","","0",
"베트남","유  화  철(MT)","수입물량","수입 실적","","0",
"베트남","니      켈(MT)","수입%","수입 실적","","0",
"베트남","니      켈(MT)","수입금액","수입 실적","","0",
"베트남","니      켈(MT)","수입물량","수입 실적","","0",
"베트남","티 타 늄광(MT)","수입%","수입 실적","","0",
"베트남","티 타 늄광(MT)","수입금액","수입 실적","","117",
"베트남","티 타 늄광(MT)","수입물량","수입 실적","","82",
"베트남","질 코 늄광(MT)","수입%","수입 실적","","4",
"베트남","질 코 늄광(MT)","수입금액","수입 실적","","364",
"베트남","질 코 늄광(MT)","수입물량","수입 실적","","168",
"베트남","알루미늄광(MT)","수입%","수입 실적","","0",
"베트남","알루미늄광(MT)","수입금액","수입 실적","","0",
"베트남","알루미늄광(MT)","수입물량","수입 실적","","0",
"베트남","바 나 듐광(MT)","수입%","수입 실적","","0",
"베트남","바 나 듐광(MT)","수입금액","수입 실적","","0",
"베트남","바 나 듐광(MT)","수입물량","수입 실적","","0",
"베트남","인상  흑연(MT)","수입%","수입 실적","","0",
"베트남","인상  흑연(MT)","수입금액","수입 실적","","0",
"베트남","인상  흑연(MT)","수입물량","수입 실적","","0",
"베트남","토상  흑연(MT)","수입%","수입 실적","","0",
"베트남","토상  흑연(MT)","수입금액","수입 실적","","2",
"베트남","토상  흑연(MT)","수입물량","수입 실적","","2",
"베트남","활      석(MT)","수입%","수입 실적","","0",
"베트남","활      석(MT)","수입금액","수입 실적","","0",
"베트남","활      석(MT)","수입물량","수입 실적","","0",
"베트남","납      석(MT)","수입%","수입 실적","","0",
"베트남","납      석(MT)","수입금액","수입 실적","","0",
"베트남","납      석(MT)","수입물량","수입 실적","","0",
"베트남","장      석(MT)","수입%","수입 실적","","0",
"베트남","장      석(MT)","수입금액","수입 실적","","0",
"베트남","장      석(MT)","수입물량","수입 실적","","0",
"베트남","고  령  토(MT)","수입%","수입 실적","","1",
"베트남","고  령  토(MT)","수입금액","수입 실적","","367",
"베트남","고  령  토(MT)","수입물량","수입 실적","","1767",
"베트남","석  회  석(MT)","수입%","수입 실적","","27",
"베트남","석  회  석(MT)","수입금액","수입 실적","","14951",
"베트남","석  회  석(MT)","수입물량","수입 실적","","668927",
"베트남","규      석(MT)","수입%","수입 실적","","0",
"베트남","규      석(MT)","수입금액","수입 실적","","0",
"베트남","규      석(MT)","수입물량","수입 실적","","0",
"베트남","규      사(MT)","수입%","수입 실적","","30",
"베트남","규      사(MT)","수입금액","수입 실적","","17086",
"베트남","규      사(MT)","수입물량","수입 실적","","321954",
"베트남","규  조  토(MT)","수입%","수입 실적","","0",
"베트남","규  조  토(MT)","수입금액","수입 실적","","2",
"베트남","규  조  토(MT)","수입물량","수입 실적","","2",
"베트남","형      석(MT)","수입%","수입 실적","","2",
"베트남","형      석(MT)","수입금액","수입 실적","","466",
"베트남","형      석(MT)","수입물량","수입 실적","","985",
"베트남","인  광  석(MT)","수입%","수입 실적","","0",
"베트남","인  광  석(MT)","수입금액","수입 실적","","0",
"베트남","인  광  석(MT)","수입물량","수입 실적","","0",
"베트남","유      황(MT)","수입%","수입 실적","","0",
"베트남","유      황(MT)","수입금액","수입 실적","","0",
"베트남","유      황(MT)","수입물량","수입 실적","","0",
"베트남","규  회  석(MT)","수입%","수입 실적","","0",
"베트남","규  회  석(MT)","수입금액","수입 실적","","0",
"베트남","규  회  석(MT)","수입물량","수입 실적","","0",
"베트남","운      모(MT)","수입%","수입 실적","","0",
"베트남","운      모(MT)","수입금액","수입 실적","","0",
"베트남","운      모(MT)","수입물량","수입 실적","","0",
"베트남","홍  주  석(MT)","수입%","수입 실적","","0",
"베트남","홍  주  석(MT)","수입금액","수입 실적","","0",
"베트남","홍  주  석(MT)","수입물량","수입 실적","","0",
"베트남","중  정  석(MT)","수입%","수입 실적","","0",
"베트남","중  정  석(MT)","수입금액","수입 실적","","40",
"베트남","중  정  석(MT)","수입물량","수입 실적","","401",
"베트남","마그네사이트(MT)","수입%","수입 실적","","0",
"베트남","마그네사이트(MT)","수입금액","수입 실적","","1",
"베트남","마그네사이트(MT)","수입물량","수입 실적","","0",
"베트남","석      고(MT)","수입%","수입 실적","","0",
"베트남","석      고(MT)","수입금액","수입 실적","","0",
"베트남","석      고(MT)","수입물량","수입 실적","","0",
"베트남","불      석(MT)","수입%","수입 실적","","0",
"베트남","불      석(MT)","수입금액","수입 실적","","0",
"베트남","불      석(MT)","수입물량","수입 실적","","0",
"베트남","붕  소  광(MT)","수입%","수입 실적","","0",
"베트남","붕  소  광(MT)","수입금액","수입 실적","","0",
"베트남","붕  소  광(MT)","수입물량","수입 실적","","0",
"베트남","금  강  석(Kg)","수입%","수입 실적","","0",
"베트남","금  강  석(Kg)","수입금액","수입 실적","","0",
"베트남","금  강  석(Kg)","수입물량","수입 실적","","0",
"베트남","기타비금속(MT)","수입%","수입 실적","","5",
"베트남","기타비금속(MT)","수입금액","수입 실적","","4296",
"베트남","기타비금속(MT)","수입물량","수입 실적","","38707",
"베트남","무  연  탄(MT)","수입%","수입 실적","","1",
"베트남","무  연  탄(MT)","수입금액","수입 실적","","7601",
"베트남","무  연  탄(MT)","수입물량","수입 실적","","22458",
"베트남","토      탄(MT)","수입%","수입 실적","","0",
"베트남","토      탄(MT)","수입금액","수입 실적","","2",
"베트남","토      탄(MT)","수입물량","수입 실적","","19",
"벨기에","석 재(MT)","수입%","수입 실적","","0",
"벨기에","석 재(MT)","수입금액","수입 실적","","12",
"벨기에","석 재(MT)","수입물량","수입 실적","","8",
"벨기에","합계(MT)","수입%","수입 실적","","7",
"벨기에","합계(MT)","수입금액","수입 실적","","20405",
"벨기에","합계(MT)","수입물량","수입 실적","","2701",
"벨기에","몰리브덴광(MT)","수입%","수입 실적","","1",
"벨기에","몰리브덴광(MT)","수입금액","수입 실적","","17863",
"벨기에","몰리브덴광(MT)","수입물량","수입 실적","","560",
"벨기에","크  롬  광(MT)","수입%","수입 실적","","0",
"벨기에","크  롬  광(MT)","수입금액","수입 실적","","2",
"벨기에","크  롬  광(MT)","수입물량","수입 실적","","0",
"벨기에","토상  흑연(MT)","수입%","수입 실적","","0",
"벨기에","토상  흑연(MT)","수입금액","수입 실적","","0",
"벨기에","토상  흑연(MT)","수입물량","수입 실적","","0",
"벨기에","고  령  토(MT)","수입%","수입 실적","","0",
"벨기에","고  령  토(MT)","수입금액","수입 실적","","1",
"벨기에","고  령  토(MT)","수입물량","수입 실적","","0",
"벨기에","규      석(MT)","수입%","수입 실적","","0",
"벨기에","규      석(MT)","수입금액","수입 실적","","61",
"벨기에","규      석(MT)","수입물량","수입 실적","","138",
"벨기에","규      사(MT)","수입%","수입 실적","","0",
"벨기에","규      사(MT)","수입금액","수입 실적","","88",
"벨기에","규      사(MT)","수입물량","수입 실적","","185",
"벨기에","규  조  토(MT)","수입%","수입 실적","","0",
"벨기에","규  조  토(MT)","수입금액","수입 실적","","1",
"벨기에","규  조  토(MT)","수입물량","수입 실적","","0",
"벨기에","운      모(MT)","수입%","수입 실적","","0",
"벨기에","운      모(MT)","수입금액","수입 실적","","0",
"벨기에","운      모(MT)","수입물량","수입 실적","","0",
"벨기에","금  강  석(Kg)","수입%","수입 실적","","2",
"벨기에","금  강  석(Kg)","수입금액","수입 실적","","1804",
"벨기에","금  강  석(Kg)","수입물량","수입 실적","","32",
"벨기에","토      탄(MT)","수입%","수입 실적","","3",
"벨기에","토      탄(MT)","수입금액","수입 실적","","573",
"벨기에","토      탄(MT)","수입물량","수입 실적","","1811",
"벨라루스","합계(MT)","수입%","수입 실적","","0",
"벨라루스","합계(MT)","수입금액","수입 실적","","4",
"벨라루스","합계(MT)","수입물량","수입 실적","","18",
"벨라루스","토      탄(MT)","수입%","수입 실적","","0",
"벨라루스","토      탄(MT)","수입금액","수입 실적","","4",
"벨라루스","토      탄(MT)","수입물량","수입 실적","","18",
"보빗 군도","합계(MT)","수입%","수입 실적","","0",
"보빗 군도","합계(MT)","수입금액","수입 실적","","8",
"보빗 군도","합계(MT)","수입물량","수입 실적","","0",
"보빗 군도","금  강  석(Kg)","수입%","수입 실적","","0",
"보빗 군도","금  강  석(Kg)","수입금액","수입 실적","","8",
"보빗 군도","금  강  석(Kg)","수입물량","수입 실적","","1",
"보스니아-헤르체고비나","합계(MT)","수입%","수입 실적","","1",
"보스니아-헤르체고비나","합계(MT)","수입금액","수입 실적","","15968",
"보스니아-헤르체고비나","합계(MT)","수입물량","수입 실적","","7380",
"보스니아-헤르체고비나","연      광(MT)","수입%","수입 실적","","1",
"보스니아-헤르체고비나","연      광(MT)","수입금액","수입 실적","","15968",
"보스니아-헤르체고비나","연      광(MT)","수입물량","수입 실적","","7380",
"보츠와나","합계(MT)","수입%","수입 실적","","0",
"보츠와나","합계(MT)","수입금액","수입 실적","","394",
"보츠와나","합계(MT)","수입물량","수입 실적","","0",
"보츠와나","석  회  석(MT)","수입%","수입 실적","","0",
"보츠와나","석  회  석(MT)","수입금액","수입 실적","","0",
"보츠와나","석  회  석(MT)","수입물량","수입 실적","","0",
"보츠와나","금  강  석(Kg)","수입%","수입 실적","","0",
"보츠와나","금  강  석(Kg)","수입금액","수입 실적","","394",
"보츠와나","금  강  석(Kg)","수입물량","수입 실적","","16",
"보츠와나","무  연  탄(MT)","수입%","수입 실적","","0",
"보츠와나","무  연  탄(MT)","수입금액","수입 실적","","0",
"보츠와나","무  연  탄(MT)","수입물량","수입 실적","","0",
"볼리비아","합계(MT)","수입%","수입 실적","","34",
"볼리비아","합계(MT)","수입금액","수입 실적","","470744",
"볼리비아","합계(MT)","수입물량","수입 실적","","315737",
"볼리비아","은      광(Kg)","수입%","수입 실적","","7",
"볼리비아","은      광(Kg)","수입금액","수입 실적","","23456",
"볼리비아","은      광(Kg)","수입물량","수입 실적","","3614",
"볼리비아","동      광(MT)","수입%","수입 실적","","0",
"볼리비아","동      광(MT)","수입금액","수입 실적","","5573",
"볼리비아","동      광(MT)","수입물량","수입 실적","","2831",
"볼리비아","연      광(MT)","수입%","수입 실적","","9",
"볼리비아","연      광(MT)","수입금액","수입 실적","","142651",
"볼리비아","연      광(MT)","수입물량","수입 실적","","41630",
"볼리비아","아  연  광(MT)","수입%","수입 실적","","17",
"볼리비아","아  연  광(MT)","수입금액","수입 실적","","299035",
"볼리비아","아  연  광(MT)","수입물량","수입 실적","","271230",
"볼리비아","철      광(MT)","수입%","수입 실적","","0",
"볼리비아","철      광(MT)","수입금액","수입 실적","","2",
"볼리비아","철      광(MT)","수입물량","수입 실적","","0",
"볼리비아","붕  소  광(MT)","수입%","수입 실적","","0",
"볼리비아","붕  소  광(MT)","수입금액","수입 실적","","27",
"볼리비아","붕  소  광(MT)","수입물량","수입 실적","","42",
"볼리비아","기타비금속(MT)","수입%","수입 실적","","0",
"볼리비아","기타비금속(MT)","수입금액","수입 실적","","0",
"볼리비아","기타비금속(MT)","수입물량","수입 실적","","0",
"부룬디","합계(MT)","수입%","수입 실적","","0",
"부룬디","합계(MT)","수입금액","수입 실적","","0",
"부룬디","합계(MT)","수입물량","수입 실적","","0",
"부룬디","니 오 븀광(MT)","수입%","수입 실적","","0",
"부룬디","니 오 븀광(MT)","수입금액","수입 실적","","0",
"부룬디","니 오 븀광(MT)","수입물량","수입 실적","","0",
"불가리아","석 재(MT)","수입%","수입 실적","","0",
"불가리아","석 재(MT)","수입금액","수입 실적","","71",
"불가리아","석 재(MT)","수입물량","수입 실적","","89",
"불가리아","합계(MT)","수입%","수입 실적","","1",
"불가리아","합계(MT)","수입금액","수입 실적","","9850",
"불가리아","합계(MT)","수입물량","수입 실적","","6911",
"불가리아","연      광(MT)","수입%","수입 실적","","1",
"불가리아","연      광(MT)","수입금액","수입 실적","","9249",
"불가리아","연      광(MT)","수입물량","수입 실적","","5631",
"불가리아","아  연  광(MT)","수입%","수입 실적","","0",
"불가리아","아  연  광(MT)","수입금액","수입 실적","","363",
"불가리아","아  연  광(MT)","수입물량","수입 실적","","488",
"불가리아","고  령  토(MT)","수입%","수입 실적","","0",
"불가리아","고  령  토(MT)","수입금액","수입 실적","","167",
"불가리아","고  령  토(MT)","수입물량","수입 실적","","702",
"불가리아","규      석(MT)","수입%","수입 실적","","0",
"불가리아","규      석(MT)","수입금액","수입 실적","","0",
"불가리아","규      석(MT)","수입물량","수입 실적","","0",
"브라질","석 재(MT)","수입%","수입 실적","","0",
"브라질","석 재(MT)","수입금액","수입 실적","","571",
"브라질","석 재(MT)","수입물량","수입 실적","","669",
"브라질","합계(MT)","수입%","수입 실적","","25",
"브라질","합계(MT)","수입금액","수입 실적","","1120916",
